"t";"x";"y"
0;9.43952435344779;9.61814377335686
0.5;3.69331221597022;3.52177950036162
1;0.71090736691792;0.469249934837292
1.5;-1.51633994676467;-2.17803062780355
2;-2.85071107951037;-2.8820202898593
2.5;-3.21429213417164;-3.76006119628461
3;-3.78735163917927;-4.94712476038505
3.5;-4.62009548697434;-4.88447908962024
4;-4.9626479870695;-4.32364039196811
4.5;-5.10261874222225;-5.50267579934352
5;-4.71815667994531;-4.29541973443088
5.5;-4.72791108809098;-5.85287643441209
6;-4.72231440363839;-4.76094840687506
6.5;-4.80046268193655;-4.43930231964809
7;-5.03521932586281;-4.82581780705685
7.5;-4.51906712054574;-4.44558709894741
8;-4.56835558911456;-5.01385887116982
8.5;-5.29100302699187;-5.88182950595031
9;-4.97935378390436;-5.69146313132336
9.5;-5.12037730183946;-5.03857387803614
10;-5.37317370310259;-6.03198296165755
10.5;-5.28761321106231;-5.62871341672968
11;-5.46285217531334;-5.64092122828634
11.5;-5.48562258508141;-4.20352664038969
12;-5.47024114571823;-5.92356266475492
12.5;-5.75933874114822;-5.59566696478701
13;-5.22506347866146;-5.17085481836762
13.5;-5.09339530062068;-5.76220483544147
14;-5.3765730736785;-5.42615585578658
14.5;-4.87596051346897;-3.87151831973101
15;-4.80488877919407;-4.49094363914448
15.5;-4.96460253312981;-4.9359319699722
16;-4.72691393527659;-5.02068943140951
16.5;-4.58752494850358;-6.01521309909006
17;-4.51887792041523;-3.73222314403761
17.5;-4.51461055372833;-5.5302400890585
18;-4.54989227515789;-4.03538321738212
18.5;-4.7443990108698;-3.41693853001783
19;-4.93097510349028;-5.93495997925484
19.5;-5.06508323400585;-4.57711024693908
20;-5.23475446404906;-5.41706872450746
20.5;-5.20083053531013;-6.29399241249593
21;-5.47750797443671;-6.53070460789342
21.5;-4.67993796159303;-5.79353704199628
22;-4.4663190413949;-4.83547524568428
22.5;-4.99200768343391;-6.00841287120592
23;-5.10840180847691;-4.63007137896808
23.5;-5.19692406386772;-3.73665146840323
24;-4.90019525674728;-5.79510851453826
24.5;-4.96290009045162;-4.41516019508083
25;-4.9062908974254;-4.37155134767275
25.5;-4.9511869404522;-4.720195912881
26;-4.98244410513689;-5.68360045877147
26.5;-4.6046429194119;-4.68770211912936
27;-4.82366717370152;-5.01863497558265
27.5;-4.4667746204719;-4.07531007735661
28;-5.11193097631695;-5.37089949863141
28.5;-4.90355686936981;-4.22423617531189
29;-4.90668932789288;-5.16714732167954
29.5;-4.8827038635526;-4.15072007240129
30;-4.82214108357172;-5.55166725293435
30.5;-5.03332432452677;-5.90955037853829
31;-5.11387555164837;-2.86027731849302
31.5;-5.35538667618499;-5.64524102633586
32;-5.51682934886902;-5.30946221151029
32.5;-5.22815210029057;-4.78552494311904
33;-5.01239118135875;-5.34877924976167
33.5;-4.99261634504461;-4.63322571326243
34;-4.73627571251947;-4.47972293202224
34.5;-4.26377213298441;-4.41353305578096
35;-4.69148221766051;-4.64608189309073
35.5;-5.46197308643363;-5.48566113236164
36;-4.99749157026372;-3.51751121356865
36.5;-5.19783219506146;-5.71330678046314
37;-5.31338789478777;-6.07546898622863
37.5;-4.90179515865472;-4.87551968185865
38;-5.02048436101119;-4.80459721292944
38.5;-5.35556349493233;-5.05203482495304
39;-5.16469644317253;-5.48341244935335
39.5;-5.13893527558518;-5.87829978354764
40;-5.08264821364445;-4.20431535193169
40.5;-4.94182782145956;-5.18495086601662
41;-5.06890791409571;-5.67072655786492
41.5;-4.86066296779464;-5.02495567315614
42;-4.97746575112173;-5.11456842681974
42.5;-4.89306964011961;-4.12130673251866
43;-4.62682618708591;-4.56790565052629
43.5;-4.6513307806242;-4.12701318130213
44;-4.88013955629975;-5.22731318893442
44.5;-4.60437551769825;-4.45526486788142
45;-4.48077146987163;-4.70653591929338
45.5;-4.53091967937795;-4.46515274152584
46;-4.64838182172968;-5.2709564650767
46.5;-4.96323480205318;-5.87467683264258
47;-4.59522655663147;-3.20650051639456
47.5;-4.92322318126192;-4.5055312148428
48;-4.33858152779669;-5.20863033508051
48.5;-4.1680184049698;-4.59298152101985
49;-4.56163212798582;-5.38593416613298
49.5;-5.02263945312781;-3.49373662664162
50;-5.21342410314916;-4.30086158487421
